"id";"remarks"
22355;ketemu ortu ybs merantau byphone masih diupayakan
22356;"visit ke alamat konsumen rumah kons terlihat kosong diketuk tidak ada orang yang keluar 
Fu by phone konsumen janji bayar tanggal 28 "
22357;ada 2 kontrak aktif konsumen kerja. habit bayar akhir bulan. by phone belum ada respon. press pembayaran di bulan ini minin rb ke 1-30. fu ulang
22358;Kons ad unit ad JB tgl 30 nunggu gajihan akan di FU lagi
22359;visit ke alamat pemakai dana .pemakai dana tidak ada di rumah .fu by phone sedang usahakan dana
22360;visit tdk bertemu kons by phone tdk diangkat
22361;revisit tdak ktemu rumah masih kosong no jga tdak aktif. masih kesulitan mencari alamat terbaru konsumen berada
22362;ketemu konsumen jb bayar besok
22363;Konsumen sudah pindah kejakarta bekerja sebagai pembantu ybs meninggalkn anak2nya dirumah untuk suaminya ada info kerja didaerah ciroyom bandung next visit ketempat kerja suami
22364;rumah kons sepi kons d telp ad respon ybs sdg d lapangan menagih kons2nya ybs menunggu gaji dr koperasi tgl 30 tekankan byr maks besok fu ulang
22365;berkunjung bertemu suami konsumen perihal penyelesaian sedang mengusahakan dan nungu gajihan anaknya
22366;"bertemu pasangan. date line waktu Senin tanggal 30. pasangan tdk mau buat SPJB. 
unit dan kons di Denpasar bali"
22367;keadaan rumah sepi by phone bisa belum ada respon 
22368;knjungan rumah sepi ga ada orng by phone respon dana belum ada kons karakter dan kapasitas bayar sngat minim
22369;Visit ketempat kerja kons Ari Yansyah ybs saat ini tdak bisa kluar. via wa ybs jb besok menunggu gjian
22370;kost tidak ada dirumah info nya sudah gak pulang2 lagi kost raip 
22371;ketemu ibunya..nitip pesan bayar...kapasitas dan karakter 
22372;kunjungan ke alamat rumh nasabah posisi nasabah tidak ada di rumah di tlpon kata nasabah meusahkan byar angsuran tnggl 30 msih nunggu pembayaran kerja proyek bangunan unit tidak terlihat
22373;konsumen tdk ada di tempat ketemu dgn pasangan konsumen unit tdk kelihatan di tempat.
22374;visit dirumah Deb tidak ada orang fam hubungi belum respon fam akan visit kembali.
22375;ybs-travel-visit kerumah ketemu ybs unit ada ngubunngi pasangan jb nanti maksimal tgl 30
22376;ybs ida royani jumpa anak info masig mengusbakan pembayaran penekanan 2 angsuran jb 30.12.24
22377;"konsumen karakter buruk
4 kontrak masuk fams
tidak ada kejelasan
rumah selalu kosong
by ohone no respon.."
22378;konsumen masih menunggu suami gajihan
22379;kons ada Masi tnggu transfer dari Kaka nya. untuk byar angsuran nya. di kawal 
22380;kons masih usahakan dana habis berduka tekankan untuk bayar angsuran akan visit kembali
22381;visit sesuai alamat kons ada JB tgl 31. akan dikawal angsuran terakhir
22382;kunjungan ke tempat usaha konsumen  konsumen tidak ada by phone gu
22383;ktmu bapa kons.kons susah ditemui
22384;konfirmasi anak buah nya yg jaga.. konsumen jarang ada di tmpt.. konsumen di hubungi tdk respon
22385;fam visit ke rumah deb rumah tutupan by phone belum ada respon fu ulang 
22386;kons sedang keluar info tetangga sdg bawa orang tua kontrol ke rs interaksi by phone fu
22387;fam bertemu dengan pemakai dana dana masih diusahakan 
22388;di dalam ada suara tg hidup unit tidak ada pic panggil2 gak ada yang keluarFu phone gak di respon2 pic Fu ulang 
22389;bertemu denagn debitur smbtra mwngushakn dana. 
22390;debitur berserta unit tidak ada di rumah. kondisi rumah sepih. infonya debitur di tempat kerja
22391;anaknya-jualan d pasar-unit tidak kelihatan di kunjungi alamat rumah bertemu anaknya ybs blm pulang konfirmasi by phon infonya mau pelunasan
22392;visit ke alamat orang tua bertemu kostor info konsumen ada di kotamobagu hub via telfon konsumen minta waktu sampai besok konsumen usaha cengkih pala dan kopra unit di kuasai konsumen akan di FU kembali
22393;ktm pasangan psangan tdak mau tahu mengenai angsuran. masih menunggu debitur info keluar.
22394;konsumen kerja di luar kota jarang pulang...ketemu istri konsumen cerewet ..janji bayar tidak jelas .motor tidak ada .
22395;pk sulit ditemui konfirmasi angsuran bisa di ambil senin siang
22396;bantu ram tarik unit 
22397;eskalasi external
22398;eskalasi external
22399;eskalasi external
22400;eskalasi external
22401;konsumen sudah bayar 
22402;sudah bayar partial dan bad caracter 
22403;anak pemakai unit sudah bayar current via pp
22404;konsumen bayar 1 angsuran melalui edc
22405;bayar current
22406;kons sdah melakukan pembayaran 1bln angsuran 
22407;"selesai current
"
22408;ram tidak visit ke alamat karna ybs sudah pindah alamat..alamat baru tdk ada yg tau via tlpn kerabat ybs sudah bayar melalui pp
22409;konsumen bayar current.
22410;bayar 1 bulan
22411;visit kerumah kons kosong info kons sedang di luar by phone kons usahakan mlam ini ada pembayaran
22412;visit bertemu kons jb meleset terkendala dana belum keluar jb lagi tanggal 31 bayar 1 bulan unit ada di konsumen 
22413;bisa bayar lagi bulan depan.
22414;rk revisit ulang
22415;kondisi rumah tertutup tidak ada orang by phone tidak respon
22416;Di lakukan kunjungan ke alamat kons tidak ketemu..pintu rumah dan pintu pagar terkunci..di telp dapat janji bayar tanggal 27.12 24 sore hari..masih sementara menunggu dana transferan dari orang lain..unit masih dikuasai oleh kons
22417;knjgan ke rumah krbat debitur slku plaku bayar  hanx ketemu krbatx  infox ybs lg kluar  fu by phone debitur no tdk aktif unit dipakai debitur 
22418;konsumen JB besok. sy pertegas kons bayar hari ini. 
22419;bertemu ybs-pegawai disekolah-unit ada dipakai-jb akhir bulan
22420;kons jb senin tgl 30 des alsan dana masih kurang. Menunggu pembayaran dagangan kons.
22421;konsumen sedang tidak ada di rumah unit dipakai konsumen by phone 
22422;unit di bawa suami kerja 
22423;kons ini saat di kunjungi hnya ketemu ortunya..unit ad dgn kons pakai kerja.info mamanya jarang pulang.
22424;konsumen ada jjb melalui phone
22425;FAM visit di rumah nya tapi konsumen tidak ada di tempat ditelpon tapi tidak direspon konsumen sangat susah didapat di rumahnya 
22426;tidak bertemu saat kunjungan 
22427;kons rumah tutupan fu ulang
22428;visit rumah kons tutupan by phone masih dicarikan pinjaman pres bayar secepatnya
22429;kunjungan ke alamat tagih  Rumah kosong tidak ada respon dari dalam info dari Sodara konsumen tidak tau pergi kemana Unit 1 Punya sodara konsumen infonya Ybs lagi nunggu duit bayaran 
22430;bertemu dengan anak Kons info anak Kons kons jarang d selalu menghindar TDK ada respon di wa ram unit TDK kelihatan req sebar nopol 
22431;bayar
22432;bayar
22433;konsumen melakukan pembayaran via payment point 
22434;bayar
22435;konsumen bayar
22436;by phone ke kons dan di arahkan bayar di bri ling unit di kuasai kons 
22437;kons byr 
22438;bertemu sumber uang clear rollback by edc
22439;visitkons sdh melakukan pembyran via m banking byr current
22440;kontrak luar kota dan kontrak atas nama ketemu pihak ke 3 di kantor bfi bulungan dan pihak ke 3 sudah melakukan pembayaran partial via edc
22441;kons jb tgl 30 nungu hasil jualan di pentol
22442;kons dan keluarga tidak dirumah by phone belum respon akan divisit kembali 
22443;unit adakonsumen tidak ada dirumahrumah sepi dihub via tlpn tidak diangkat
22444;Kunjungan ke tempat kerja nasabah masih tidak bertemu seperti lari dari tanggungjawab dirunah tidak pernah ada sore ini visit ke rumah untuk penekanan ke orangtua
22445;Tunggu uang dari suaminya belum gajian 
22446;dikunjungi ke tempat kerja di wira toyota tdk ketemu konsumen ditelpon tdk drespon terakhir jb msh menunggu gajihan akhir bulan ini unit msh dkuasai konsumen akan dfu lg
22447;vsit ke alamat rumah survei rumah tutup di salam-salam tidak ada yang jawab di byphone  ke konsumen tidak aktif interaksi sebelumnya konsumen masih menunggu gaji yang di awal bulan akan di follow up kembali
22448;visit ke tempat usaha Sulastri bertemu debitur kapasitas minim ortu sedang sakit uang dipakai untuk berobat dulu baru bisa bayar bulan depan fu ulang
22449;Konsumen tdk ditmpt tlpon nomor tdk aktif. fu ulang unit dikuasai kons
22450;visit tdj bertmy kons tdk ad org unit ad by phone tdk respon fu kembali
22451;Tidak bertemu konsumen. Rumah sepi konsumen sudah di panggil2 ga keluar. Info tetangga konsumen sedang bekerja. konsumen bekerja di PT Changshin. Konsumen sudah di hubungi by phone belum ada respon. Akan di Followup kembali.
22452;debitur karakter sulit ditemui dan dihubungi visit ke alamat kerja tidak bertemu dan visit ke rumah juga tidak bertemu. fu by phone tidak respon 
22453;ketemu kons kons lagi usahakan dana ngumpulin uang usaha kons minta waktu fam tekankan senin udah harus dibayarkan
22454;rumah kosong tidak ada orang dipanggil panggil tidak ada yang keluarbyphone kons belum ada responfu
22455;Tidak ketemu kons atau pasangan rumah t tutup tidak.ada orang dan Unit Di Ternate sama keluarga kons daan yg sering bayar angsuran juga diternate Fu tlp ke pemegag unit blm ada respon sisa 1x angsuran dgn denda akan di Fu kembali
22456;nafia atas nama dana dan unit dipakai ibu pk sendiri dana masih kurang hanji bayar senin dari tmbahan usaha ibu pk
22457;visit alamat tempat kerja bertemu dengan konsumen JB nanti malam nunggu jangkepan dana  dana baru terkumpul 500rb Fu ulang 
